"pattern","n_students","n_items_form","item","n1","n0","p_correct","dxy_form_rest","remapped_form","raw_weight_form","shared_rest_item_count","dxy_common_rest","raw_weight_common_rest","pattern_divisor","min1_form_weight"
"PATTERN03",429,34,"pm406q01",74,355,0.172494172494172,0.577655119908641,0.577655119908641,5.10469982950038,10,0.580700418728588,5.12446413884989,1.60093492003612,3.18857422972897
"PATTERN03",429,34,"pm406q02",40,389,0.0932400932400932,0.858547557840617,0.858547557840617,9.85557413279431,10,0.780655526992288,8.40524616056224,1.60093492003612,6.15613664831045
"PATTERN03",429,34,"pm408q01t",156,273,0.363636363636364,0.600920447074293,0.600920447074293,3.84463637580355,11,0.518596787827557,3.47012813313015,1.60093492003612,2.40149448156007
"PATTERN03",429,34,"pm420q01t",246,183,0.573426573426573,0.570860544671021,0.570860544671021,2.86457394099308,11,0.532076058465503,2.73077777297696,1.60093492003612,1.78931317266066
"PATTERN03",429,34,"pm423q01",339,90,0.79020979020979,0.257161586365126,0.257161586365126,1.60093492003612,10,0.241461815798099,1.57518870006657,1.60093492003612,1
"PATTERN03",429,34,"pm446q01",321,108,0.748251748251748,0.639494634821738,0.639494634821738,2.5992647465077,11,0.544594438675436,2.29972177902008,1.60093492003612,1.62359176127475
"PATTERN03",429,34,"pm446q02",30,399,0.0699300699300699,0.696324143692565,0.696324143692565,7.93646641410347,11,0.654302422723475,7.46939458357671,1.60093492003612,4.95739477899853
"PATTERN03",429,34,"pm447q01",273,156,0.636363636363636,0.460387902695595,0.460387902695595,2.34269887412611,11,0.357354184277261,2.09020712917145,1.60093492003612,1.46333173497974
"PATTERN03",429,34,"pm464q01t",59,370,0.137529137529138,0.806092533211177,0.806092533211177,7.81186479957966,11,0.739853412734768,6.94824721273686,1.60093492003612,4.87956424824778
"PATTERN03",429,34,"pm496q01t",209,220,0.487179487179487,0.551826881252719,0.551826881252719,3.08953287433295,10,0.575728577642453,3.18311710306415,1.60093492003612,1.92983039826706
"PATTERN03",429,34,"pm496q02",261,168,0.608391608391608,0.434865900383142,0.434865900383142,2.34620337574596,10,0.375889436234264,2.19833981199417,1.60093492003612,1.46552076938457
"PATTERN03",429,34,"pm559q01",247,182,0.575757575757576,0.518307603327846,0.518307603327846,2.67893894265543,11,0.523891088668417,2.69692713935422,1.60093492003612,1.67335905359288
"PATTERN03",429,34,"pm564q01",182,247,0.424242424242424,0.406170752324598,0.406170752324598,2.8177447483944,10,0.351514881879254,2.65509001419414,1.60093492003612,1.76006201946724
"PATTERN03",429,34,"pm564q02",167,262,0.389277389277389,0.358412945102162,0.358412945102162,2.79821557773948,10,0.368583443799424,2.82909903545603,1.60093492003612,1.74786341575731
"PATTERN03",429,34,"pm571q01",208,221,0.484848484848485,0.60942394709363,0.60942394709363,3.33360782798737,10,0.503763487643578,2.92361685531161,1.60093492003612,2.08228815941635
"PATTERN03",429,34,"pm603q01t",192,237,0.447552447552448,0.510724331926864,0.510724331926864,3.08420343721865,10,0.444444444444445,2.85640689340896,1.60093492003612,1.92650144526116
"PATTERN03",429,34,"pm800q01",332,97,0.773892773892774,0.339181468140604,0.339181468140604,1.77432745800657,11,0.307694696311017,1.71608082739754,1.60093492003612,1.10830704971227
"PATTERN03",429,34,"pm828q01",110,319,0.256410256410256,0.698176118552294,0.698176118552294,5.16181360234329,11,0.647477913935594,4.79886561665943,1.60093492003612,3.22424949180747
"PATTERN03",429,34,"pm828q02",251,178,0.585081585081585,0.450937821746721,0.450937821746721,2.45134171322056,11,0.458861184475581,2.47354992075125,1.60093492003612,1.53119385587845
"PATTERN03",429,34,"pm828q03",83,346,0.193473193473193,0.538895466258096,0.538895466258096,4.66408309054024,11,0.554843652064907,4.75628707666344,1.60093492003612,2.91334958852357
"PATTERN03",429,34,"pm905q01t",300,129,0.699300699300699,0.530439276485788,0.530439276485788,2.3787043114019,10,0.49343669250646,2.27628785172763,1.60093492003612,1.48582199165737
"PATTERN03",429,34,"pm905q02",134,295,0.312354312354312,0.72365292183152,0.72365292183152,4.92146052050949,10,0.688489754616747,4.66496473639317,1.60093492003612,3.07411654210058
"PATTERN03",429,34,"pm919q01",327,102,0.762237762237762,0.674491815074654,0.674491815074654,2.6909355716614,10,0.653564789830305,2.61230198618295,1.60093492003612,1.68085256807359
"PATTERN03",429,34,"pm919q02",146,283,0.34032634032634,0.497628152379108,0.497628152379108,3.49590832000408,10,0.467738031850525,3.37661628847924,1.60093492003612,2.18366672889189
"PATTERN03",429,34,"pm943q01",216,213,0.503496503496504,0.322791688402017,0.322791688402017,2.33836198776003,10,0.307511737089202,2.30091792470687,1.60093492003612,1.46062276392052
"PATTERN03",429,34,"pm943q02",8,421,0.0186480186480186,0.94625890736342,0.94625890736342,18.8990219909025,10,0.911223277909739,16.5367724448039,1.60093492003612,11.8049907928026
"PATTERN03",429,34,"pm953q02",184,245,0.428904428904429,0.687466725820763,0.687466725820763,3.97801348996855,10,0.653216503992901,3.78766416811901,1.60093492003612,2.48480649661812
"PATTERN03",429,34,"pm953q03",153,276,0.356643356643357,0.764729563322914,0.764729563322914,4.94443569551043,10,0.756180733162831,4.87279211683271,1.60093492003612,3.08846764077011
"PATTERN03",429,34,"pm954q01",276,153,0.643356643356643,0.680235862460926,0.680235862460926,3.07424469589737,10,0.690679170218812,3.12169990780211,1.60093492003612,1.92028086677503
"PATTERN03",429,34,"pm954q02",132,297,0.307692307692308,0.621722273237425,0.621722273237425,4.277999620865,10,0.619860218345067,4.26739242921524,1.60093492003612,2.67218833653056
"PATTERN03",429,34,"pm954q04",74,355,0.172494172494172,0.718233726684431,0.718233726684431,6.20873748609584,10,0.654967643700038,5.6565816142357,1.60093492003612,3.87819480254436
"PATTERN04",421,22,"pm00gq01",21,400,0.0498812351543943,0.902261904761905,0.902261904761905,13.0631985576652,9,0.843095238095238,11.2271341338978,1.50794247512905,8.66292897316738
"PATTERN04",421,22,"pm273q01t",223,198,0.529691211401425,0.369139828781084,0.369139828781084,2.38353735495126,11,0.337092902115324,2.30289961065162,1.50794247512905,1.58065535938118
