"person","calibration","audit","fold","number_correct","raw_proportion","full_weighted","crossfit_weighted","raw_midrank_percentile","weighted_midrank_percentile"
586,TRUE,FALSE,2,22,0.785714285714286,0.782819609924921,0.783047566970334,62.9876796714579,66.409993155373
587,TRUE,FALSE,5,19,0.678571428571429,0.654637889234697,0.65532080721585,39.2026009582478,39.8186173853525
588,TRUE,FALSE,5,25,0.892857142857143,0.886051454268055,0.886399253014355,85.2669404517454,85.7802874743327
589,TRUE,FALSE,5,18,0.642857142857143,0.597174410598366,0.598590394302088,31.6392881587953,28.9356605065024
590,TRUE,FALSE,3,27,0.964285714285714,0.962265824250413,0.962105235759591,95.4312114989733,95.1745379876797
591,TRUE,FALSE,5,24,0.857142857142857,0.836641032978126,0.836093863648472,78.5420944558522,77.3271731690623
592,TRUE,FALSE,5,25,0.892857142857143,0.871375668689567,0.872230611186072,85.2669404517454,83.2135523613963
593,FALSE,TRUE,2,23,0.821428571428571,0.798043232956605,0.797274411059852,71.1327857631759,69.113620807666
594,FALSE,TRUE,3,26,0.928571428571429,0.943179246127479,0.94344387397826,90.9479808350445,93.5147159479808
595,TRUE,FALSE,3,19,0.678571428571429,0.653378941111541,0.653126551887456,39.2026009582478,39.6475017111567
596,TRUE,FALSE,4,18,0.642857142857143,0.606549628521361,0.606543727191966,31.6392881587953,30.64681724846
597,FALSE,TRUE,1,20,0.714285714285714,0.703016927924625,0.701099211676014,47.1594798083504,49.9144421629021
598,TRUE,FALSE,5,23,0.821428571428571,0.802504968731182,0.803048586959325,71.1327857631759,69.9691991786448
599,FALSE,TRUE,1,25,0.892857142857143,0.890157617293468,0.888659738972303,85.2669404517454,86.3963039014374
600,TRUE,FALSE,5,23,0.821428571428571,0.800683878816784,0.801420205148927,71.1327857631759,69.5927446954141
601,TRUE,FALSE,1,22,0.785714285714286,0.745395009046331,0.74699540668293,62.9876796714579,58.264887063655
602,TRUE,FALSE,5,18,0.642857142857143,0.627862637383541,0.627211875500725,31.6392881587953,34.0691307323751
603,FALSE,TRUE,5,17,0.607142857142857,0.592975891613046,0.59474296750855,25.2908966461328,28.2169746748802
604,FALSE,TRUE,5,17,0.607142857142857,0.551328192338207,0.554206673527139,25.2908966461328,20.9616700889801
605,TRUE,FALSE,2,20,0.714285714285714,0.678873295143747,0.678218150068641,47.1594798083504,44.8151950718686
606,TRUE,FALSE,5,25,0.892857142857143,0.871579462204292,0.872312248037618,85.2669404517454,83.2477754962354
607,TRUE,FALSE,5,21,0.75,0.74565827779332,0.744448226042362,54.7741273100616,58.3333333333333
608,TRUE,FALSE,1,24,0.857142857142857,0.857187470015727,0.856932174523023,78.5420944558522,81.0574948665298
609,FALSE,TRUE,2,26,0.928571428571429,0.923621004992395,0.923967442376386,90.9479808350445,90.8795345653662
610,FALSE,TRUE,4,20,0.714285714285714,0.668858686472061,0.668223706912662,47.1594798083504,43.0698151950719
611,TRUE,FALSE,4,20,0.714285714285714,0.656532445965466,0.656435700426645,47.1594798083504,40.160848733744
612,TRUE,FALSE,5,28,1,1,1,98.6652977412731,98.6652977412731
613,TRUE,FALSE,1,20,0.714285714285714,0.71149355713891,0.711762157756951,47.1594798083504,51.5913757700205
614,TRUE,FALSE,1,18,0.642857142857143,0.612117899789262,0.61028540925192,31.6392881587953,31.5366187542779
615,TRUE,FALSE,1,21,0.75,0.709060048507961,0.709807648254588,54.7741273100616,50.9753593429158
616,TRUE,FALSE,5,14,0.5,0.467251421021195,0.468347026495857,10.9856262833676,10.7973990417522
617,TRUE,FALSE,3,13,0.464285714285714,0.432756196578755,0.434506745851586,8.02532511978097,7.95687885010267
618,TRUE,FALSE,5,14,0.5,0.462419889143682,0.462804966045714,10.9856262833676,10.4551676933607
619,TRUE,FALSE,3,16,0.571428571428571,0.571597999926287,0.572891118036431,19.4216290212183,24.7262149212868
620,TRUE,FALSE,1,23,0.821428571428571,0.79320461101088,0.793220589560859,71.1327857631759,68.429158110883
621,FALSE,TRUE,2,14,0.5,0.467058354439881,0.468321545038229,10.9856262833676,10.7289527720739
