"calibration_n","metric","mean","sd","p025","median","p975"
100,"operational_max",2.47496927104745,0.327028426166309,1.89204409861151,2.43672309874511,3.20582052859168
100,"constants",0,0,0,0,0
100,"small_groups",0,0,0,0,0
100,"negative_items",0.1,0.333333333333333,0,0,1
100,"share_L1",0.103525796393261,0.0157164706632742,0.0696073568504892,0.104199597363015,0.132767541292632
100,"share_max_abs",0.011101861530183,0.00274621733775496,0.00741737583335463,0.0105360667334173,0.0184446617952991
250,"pearson",0.99934755159625,0.000210105161611341,0.998812511113679,0.999402522650796,0.999620399348524
250,"spearman",0.999265747598641,0.000239072417170574,0.998674921063643,0.999304917075018,0.999558947330218
250,"rmse",0.00678535937243127,0.00118473773684902,0.00501014825363427,0.00657456769115052,0.00940431007719437
250,"mean_change",-0.000369196448691976,0.00265690950232423,-0.00492360418134518,-0.000721002650174864,0.00477304238053182
250,"max_abs_change",0.0223264422578063,0.00359804022026011,0.0168453945933268,0.0219450921949602,0.0300260992241844
250,"mean_rank_shift_pp",0.812503494212284,0.131039149390849,0.639151559751355,0.797785547027872,1.12219146593094
250,"p95_rank_shift_pp",2.26567844925884,0.365446720058224,1.76453819840365,2.28050171037628,3.07867730900798
250,"max_rank_shift_pp",4.33181299885975,0.827737843925313,3.13283922462942,4.21892816419612,6.21721778791334
250,"top_decile_overlap",0.982727272727273,0.00988813801456614,0.965909090909091,0.977272727272727,1
250,"max_share",0.0561037911727803,0.00392093807532935,0.0490411967989294,0.0561207208274377,0.063255594000393
250,"effective_items",26.8911485281989,0.206346397595119,26.5360320510211,26.911501188145,27.234929094044
250,"operational_max",2.25930441067662,0.254213246325947,1.89688643070676,2.19283791964847,2.89718577188022
250,"constants",0,0,0,0,0
250,"small_groups",0,0,0,0,0
250,"negative_items",0.01,0.1,0,0,0
250,"share_L1",0.0643375039920389,0.00889638195479311,0.0489097475287252,0.0636367809775816,0.0826834090478799
250,"share_max_abs",0.00701868941939404,0.00178717796894036,0.00455448290114446,0.00660488313448547,0.0111164743594973
500,"pearson",0.999736462130702,8.67839807901721e-05,0.999577515478904,0.999740962672871,0.999866448103908
500,"spearman",0.999685475176588,9.94913865069868e-05,0.999494902493941,0.999695204611862,0.999836047389567
500,"rmse",0.00423499540755925,0.000704778322890714,0.0030139734295684,0.00416256146401977,0.00588112514036912
500,"mean_change",0.000163277576738553,0.00151178748987097,-0.00258422051556745,0.000233160667735376,0.00317014302440917
